display_name,gpt-4o,claude-3-5-sonnet-20241022,grok-2-1212,gemini-2.0-flash-exp,llama-3.1-nemotron-70b-instruct,majority_vote,confidence,in_model
Structural risk minimization,5,5,5,5,5,5,1.0,True
Law and literature,15,1,15,15,11,15,0.6,True
Varix,14,14,14,14,14,14,1.0,True
Object code,5,5,5,5,5,5,1.0,True
Cost approach,3,3,6,6,6,6,0.6,True
Expander graph,13,13,13,13,13,13,1.0,True
Computer multitasking,5,5,5,5,5,5,1.0,True
Silent synapse,2,2,2,2,14,2,0.8,True
Equational logic,13,13,13,13,13,13,1.0,True
Reforestation,8,8,8,8,8,8,1.0,True
Peak signal-to-noise ratio,5,5,5,7,16,5,0.6,True
Selective surface,12,12,12,12,16,12,0.8,True
Tracking system,7,7,5,5,7,7,0.6,True
Peaking power plant,7,7,7,7,7,7,1.0,True
Financial market efficiency,6,6,6,6,6,6,1.0,True
Nominal level,13,13,13,13,13,13,1.0,True
Pseudo-differential operator,13,13,13,13,13,13,1.0,True
Magnetomotive force,16,16,16,16,16,16,1.0,True
Affine plane (incidence geometry),13,13,13,13,13,13,1.0,True
Expected return,3,6,6,6,6,6,0.8,True
Urban agglomeration,9,9,9,9,9,9,1.0,True
Genetically modified maize,2,2,2,2,2,2,1.0,True
Galactic corona,16,16,16,16,16,16,1.0,True
Precipitation hardening,12,12,12,12,12,12,1.0,True
Reciprocating motion,7,16,16,7,16,16,0.6,True
Rewriting,5,5,5,5,5,5,1.0,True
Maxwell's equations in curved spacetime,16,16,16,16,16,16,1.0,True
Concentrator,7,7,7,7,7,7,1.0,True
Wolf–Rayet star,16,16,16,16,16,16,1.0,True
Temperate deciduous forest,2,8,8,2,8,8,0.6,True
Child psychotherapy,18,18,18,18,18,18,1.0,True
Wind profile power law,7,16,16,16,16,16,0.8,True
Positronium,16,16,16,16,16,16,1.0,True
Arabic literature,1,1,1,11,11,1,0.6,True
Manufacturing operations,7,7,3,7,7,7,0.8,True
Motor drive,7,7,7,7,7,7,1.0,True
Mastication,2,2,14,14,14,14,0.6,True
Correspondence principle (sociology),19,19,19,19,19,19,1.0,True
Rate gyro,7,7,7,7,7,7,1.0,True
Turbulence kinetic energy,16,16,16,16,16,16,1.0,True
K-SVD,5,5,5,5,5,5,1.0,True
German,11,11,11,11,11,11,1.0,True
AKT3,2,2,2,2,14,2,0.8,True
Immunogenetics,2,2,2,2,14,2,0.8,True
Trust anchor,5,5,5,5,5,5,1.0,True
Topological manifold,13,13,13,13,13,13,1.0,True
Isoelastic utility,6,6,6,6,6,6,1.0,True
Pacific decadal oscillation,8,8,8,8,8,8,1.0,True
Spinning,7,7,16,12,17,7,0.4,True
Real interest rate,6,6,6,6,6,6,1.0,True
Transcription factor II F,2,2,2,2,14,2,0.8,True
Monte Carlo algorithm,5,5,5,5,5,5,1.0,True
Photosystem I,2,2,2,2,2,2,1.0,True
Satellite geodesy,9,7,9,7,9,9,0.6,True
Engraving,1,1,1,1,7,1,0.8,True
Continental philosophy,15,15,15,15,15,15,1.0,True
Evolutionary economics,6,6,6,6,6,6,1.0,True
Varicap,7,7,7,7,16,7,0.8,True
Photopolymer,12,12,12,4,12,12,0.8,True
Medical classification,14,14,14,14,14,14,1.0,True
Carbonization,4,12,4,4,4,4,0.8,True
Ionic liquid,4,4,4,4,4,4,1.0,True
Variogram,13,13,10,13,13,13,0.8,True
Soil mesofauna,2,2,2,2,2,2,1.0,True
Apiary,2,2,2,2,2,2,1.0,True
Nociception,14,2,14,2,14,14,0.6,True
Security policy,17,5,5,5,17,5,0.6,True
Parapsychology,18,18,18,18,18,18,1.0,True
Non-line-of-sight propagation,7,7,16,7,16,7,0.6,True
Crustal recycling,10,10,10,10,10,10,1.0,True
Normalized Difference Vegetation Index,8,8,8,8,8,8,1.0,True
Hydrograph,8,8,9,7,8,8,0.6,True
Artificial intelligence,5,5,5,5,5,5,1.0,True
Structuralism (philosophy of science),15,15,15,15,15,15,1.0,True
Transverse plane,14,2,14,14,14,14,0.8,True
Magnetosphere of Saturn,16,16,16,16,16,16,1.0,True
Geometric analysis,13,13,13,13,13,13,1.0,True
Lucas sequence,13,13,13,13,13,13,1.0,True
Geocentric orbit,16,16,16,16,16,16,1.0,True
Firefly algorithm,5,5,5,5,5,5,1.0,True
Olfactory ensheathing glia,2,2,2,14,14,2,0.6,True
Differential rotation,16,16,16,16,16,16,1.0,True
Perovskite (structure),12,12,12,12,12,12,1.0,True
Prewitt operator,5,5,5,5,5,5,1.0,True
Plant breeding,2,2,2,2,2,2,1.0,True
Mass communication,19,19,19,19,19,19,1.0,True
Backpropagation,5,5,5,5,5,5,1.0,True
Diquark,16,16,16,16,16,16,1.0,True
Antenna height considerations,7,7,7,7,7,7,1.0,True
Cox process,13,13,13,13,13,13,1.0,True
Universal enveloping algebra,13,13,13,13,13,13,1.0,True
Remanence,16,16,16,16,16,16,1.0,True
GPX6,2,2,2,2,14,2,0.8,True
Image impedance,7,7,7,7,7,7,1.0,True
Hodge theory,13,13,13,13,13,13,1.0,True
Token economy,18,18,6,18,18,18,0.8,True
Peakon,13,3,13,13,3,13,0.6,True
Pitchfork bifurcation,13,13,13,13,13,13,1.0,True
Computational linguistics,5,5,5,5,5,5,1.0,True
Randomized experiment,13,14,18,18,18,18,0.6,True
Organizational studies,3,3,3,19,19,3,0.6,True
Sulfation,4,4,4,4,4,4,1.0,True
Self-avoiding walk,13,13,13,13,13,13,1.0,True
Health psychology,18,18,18,18,18,18,1.0,True
Transient receptor potential channel,2,2,2,2,14,2,0.8,True
von Mises yield criterion,7,12,12,7,16,12,0.4,True
Electrical impedance tomography,7,7,14,7,7,7,0.8,True
Face negotiation theory,19,19,19,19,18,19,0.8,True
Tragedy of the commons,8,6,6,8,6,6,0.6,True
Collagen helix,2,2,2,2,14,2,0.8,True
Group isomorphism,13,13,13,13,13,13,1.0,True
Spin Hall effect,16,16,16,16,16,16,1.0,True
International trade,6,6,6,6,6,6,1.0,True
Mobile radio telephone,7,7,7,7,7,7,1.0,True
Communicating sequential processes,5,5,5,5,5,5,1.0,True
Photoexcitation,16,16,16,16,16,16,1.0,True
Domino effect,17,16,16,16,16,16,0.8,True
Cluster decay,16,16,16,16,16,16,1.0,True
Helium-4,16,16,16,16,16,16,1.0,True
Schmidt number,4,7,13,7,16,7,0.4,True
Universal differential equation,13,13,13,13,13,13,1.0,True
Java applet,5,5,5,5,5,5,1.0,True
RNA world hypothesis,2,2,2,2,2,2,1.0,True
Interior point method,13,13,13,13,13,13,1.0,True
Witt vector,13,13,13,13,13,13,1.0,True
DrugBank,14,14,14,14,14,14,1.0,True
Live cell imaging,2,2,2,2,2,2,1.0,True
Tensor (intrinsic definition),13,13,13,13,13,13,1.0,True
Brood parasite,2,2,2,2,2,2,1.0,True
Location-based service,5,5,5,5,5,5,1.0,True
Bacterial capsule,2,2,2,2,2,2,1.0,True
Tread,7,7,7,7,7,7,1.0,True
Open-end fund,3,3,3,6,3,3,0.8,True
Trench,9,8,9,10,7,9,0.4,True
RNA-induced silencing complex,2,2,2,2,2,2,1.0,True
Generalized minimal residual method,13,13,13,13,13,13,1.0,True
Low-noise amplifier,7,7,7,7,7,7,1.0,True
Lunar orbit,16,16,16,16,16,16,1.0,True
Flux linkage,16,16,16,16,16,16,1.0,True
Antiferromagnetism,16,16,16,16,16,16,1.0,True
Platonic idealism,15,15,15,15,15,15,1.0,True
Simplicial set,13,13,13,13,13,13,1.0,True
Arctic geoengineering,8,8,8,8,8,8,1.0,True
Food chain,2,2,2,2,2,2,1.0,True
Moving-average model,13,13,13,13,13,13,1.0,True
Process control,7,7,7,7,7,7,1.0,True
Blumlein Pair,7,7,7,7,7,7,1.0,True
Steroid 11-beta-hydroxylase,4,2,14,14,14,14,0.6,True
Modern history,11,11,11,11,11,11,1.0,True
Homoclinic bifurcation,13,13,13,13,13,13,1.0,True
Organelle biogenesis,2,2,2,2,2,2,1.0,True
Zero-forcing precoding,7,7,7,7,7,7,1.0,True
Critically endangered,2,2,8,8,8,8,0.6,True
STR multiplex system,2,2,2,2,7,2,0.8,True
DTIME,5,5,5,5,5,5,1.0,True
Convective instability,16,16,16,16,16,16,1.0,True
Reciprocity law,13,13,13,13,13,13,1.0,True
Progressive education,19,19,19,15,18,19,0.6,True
Effusive eruption,10,10,10,10,10,10,1.0,True
Misery index,6,6,6,6,6,6,1.0,True
Residual,13,13,13,13,13,13,1.0,True
CMOS sensor,7,7,7,7,16,7,0.8,True
Synthetic membrane,12,12,12,12,7,12,0.8,True
Alkane stereochemistry,4,4,4,4,4,4,1.0,True
TRPV6,2,2,2,2,14,2,0.8,True
Signcryption,5,5,5,5,5,5,1.0,True
Return on equity,3,3,3,3,6,3,0.8,True
Proletariat,17,17,19,17,17,17,0.8,True
Optical flow,5,5,5,5,5,5,1.0,True
Cavity ring-down spectroscopy,4,16,16,16,16,16,0.8,True
Statistical energy analysis,7,7,7,7,16,7,0.8,True
Bloom,2,2,2,8,2,2,0.8,True
Radius of convergence,13,13,13,13,13,13,1.0,True
Solubility,4,4,4,4,4,4,1.0,True
Mobile phone tracking,5,5,5,5,5,5,1.0,True
Neurolinguistics,18,18,18,18,18,18,1.0,True
Selectin,2,2,2,2,14,2,0.8,True
Legal formalism,15,15,17,17,17,17,0.6,True
Basin and range topography,10,10,10,10,10,10,1.0,True
Peace economics,6,6,6,6,6,6,1.0,True
Acoustic model,5,5,5,5,16,5,0.8,True
Thue equation,13,13,13,13,13,13,1.0,True
Medicinal chemistry,4,4,4,4,4,4,1.0,True
Non-photorealistic rendering,5,5,5,5,5,5,1.0,True
Warp drive,16,16,16,16,16,16,1.0,True
Applied anthropology,19,19,19,19,19,19,1.0,True
Tile drainage,7,7,8,7,7,7,0.8,True
Workforce planning,3,3,3,3,3,3,1.0,True
Nanoparticle,12,12,12,12,16,12,0.8,True
Structural stability,13,7,13,13,7,13,0.6,True
Angular momentum,16,16,16,16,16,16,1.0,True
Floodplain,9,9,9,9,9,9,1.0,True
Liveness,5,5,5,5,5,5,1.0,True
Vector boson,16,16,16,16,16,16,1.0,True
CYP1B1,14,2,2,14,14,14,0.6,True
Dynamic factor,6,6,6,6,6,6,1.0,True
Attitude control,7,7,7,7,7,7,1.0,True
Inotrope,14,14,14,14,14,14,1.0,True
Loop antenna,7,7,16,7,7,7,0.8,True
Bolted joint,7,7,7,7,7,7,1.0,True
Film analysis,1,1,1,1,11,1,0.8,True
Afterdepolarization,14,14,14,14,14,14,1.0,True
Market structure,6,6,6,6,6,6,1.0,True
Comparator,7,5,5,7,5,5,0.6,True
Group cohomology,13,13,13,13,13,13,1.0,True
Induction hardening,12,7,12,7,12,12,0.6,True
Structural rigidity,7,7,7,13,7,7,0.8,True
Electromagnetic spectrum,16,16,16,16,16,16,1.0,True
Primary field,5,13,16,19,16,16,0.4,True
Beam dump,16,16,16,16,16,16,1.0,True
Wavelet packet decomposition,13,13,13,13,13,13,1.0,True
Natural law,15,15,15,15,15,15,1.0,True
Synchronous serial communication,5,5,5,5,5,5,1.0,True
Condensin,2,2,2,2,2,2,1.0,True
Internal transcribed spacer,2,2,2,2,2,2,1.0,True
Mass formula,16,16,16,16,16,16,1.0,True
Dose fractionation,14,14,14,14,14,14,1.0,True
Zodiacal light,16,16,16,16,16,16,1.0,True
Clock drift,5,5,5,5,16,5,0.8,True
Comb drive,7,7,7,7,7,7,1.0,True
Parent material,10,10,10,10,10,10,1.0,True
Graphical model,5,5,5,5,5,5,1.0,True
Bond length,4,4,4,4,4,4,1.0,True
Caspase 2,2,2,2,2,14,2,0.8,True
Root system,13,2,13,13,2,13,0.6,True
DNA laddering,2,2,2,2,14,2,0.8,True
Service system,3,3,3,3,7,3,0.8,True
Cationic liposome,4,4,4,4,14,4,0.8,True
Saturation current,16,16,16,16,16,16,1.0,True
Carton,12,12,12,12,7,12,0.8,True
Phosphoglycerate kinase,2,2,2,2,14,2,0.8,True
Blueprint,7,7,7,7,7,7,1.0,True
Spatial intelligence,18,18,18,18,18,18,1.0,True
Thermal desorption spectroscopy,12,12,16,12,16,12,0.6,True
Arithmetic circuit complexity,5,5,5,5,13,5,0.8,True
Fordism,6,19,6,6,6,6,0.8,True
Normal-form game,6,13,6,13,6,6,0.6,True
Uniqueness theorem for Poisson's equation,13,13,16,13,13,13,0.8,True
Compensating transaction,5,5,5,6,6,5,0.6,True
Bed,11,7,14,7,14,11,0.2,True
Stereo microscope,2,7,7,16,7,7,0.6,True
IEEE 802.11r-2008,5,5,5,5,7,5,0.8,True
Current liability,3,3,3,3,3,3,1.0,True
Extracellular signal-regulated kinases,2,2,2,2,14,2,0.8,True
Bow shock (aerodynamics),16,16,16,7,16,16,0.8,True
Exact functor,13,13,13,13,13,13,1.0,True
Multiplicity (mathematics),13,13,13,13,13,13,1.0,True
Transfer-matrix method (optics),16,16,16,16,16,16,1.0,True
Subsistence agriculture,6,6,6,9,9,6,0.6,True
Precipitable water,8,8,8,9,8,8,0.8,True
Airglow,16,16,16,16,16,16,1.0,True
Galaxy cluster,16,16,16,16,16,16,1.0,True
Creationism,15,15,15,15,15,15,1.0,True
Arc blow,7,7,7,7,7,7,1.0,True
Soil ecology,8,2,8,2,8,8,0.6,True
Equivalence relation,13,13,13,13,13,13,1.0,True
Voltage controller,7,7,7,7,7,7,1.0,True
Geometry and topology,13,13,13,13,13,13,1.0,True
Bioerosion,2,2,10,10,10,10,0.6,True
Coulomb's constant,16,16,16,16,16,16,1.0,True
High-pass filter,7,7,7,7,16,7,0.8,True
Bilateral filter,5,5,5,5,5,5,1.0,True
Flexible display,12,7,12,7,7,7,0.6,True
Retail banking,3,3,3,3,6,3,0.8,True
TANK-binding kinase 1,2,2,2,2,14,2,0.8,True
Ranked voting system,17,17,17,17,17,17,1.0,True
Enriched category,13,13,13,13,13,13,1.0,True
Transductor,7,7,7,7,16,7,0.8,True
Grid reference,9,9,9,9,9,9,1.0,True
Cetrimide,4,4,4,4,14,4,0.8,True
Evidential reasoning approach,5,5,15,15,15,15,0.6,True
Plant cell,2,2,2,2,2,2,1.0,True
Local independence,13,13,13,13,13,13,1.0,True
Chiral resolution,4,4,4,4,4,4,1.0,True
Audit evidence,3,3,3,3,3,3,1.0,True
Moment distribution method,7,7,7,7,7,7,1.0,True
Classification of discontinuities,13,13,13,13,13,13,1.0,True
Eclecticism,15,15,15,15,15,15,1.0,True
Bin,9,5,5,8,7,5,0.4,True
Galectin,2,2,2,2,14,2,0.8,True
Vellus hair,2,2,2,2,14,2,0.8,True
Ping (video games),5,5,5,5,5,5,1.0,True
Glutamate aspartate transporter,2,2,2,2,14,2,0.8,True
Steering committee,3,3,3,3,17,3,0.8,True
Sensorimotor rhythm,14,14,18,18,18,18,0.6,True
Grounded theory,19,19,19,19,19,19,1.0,True
Operational semantics,5,5,5,5,5,5,1.0,True
Diffuse reflectance infrared fourier transform,4,4,4,4,16,4,0.8,True
Rational point,13,13,13,13,13,13,1.0,True
Enumeration,13,5,13,13,13,13,0.8,True
Non-critical string theory,16,16,16,16,16,16,1.0,True
Spent fuel pool,7,7,8,7,7,7,0.8,True
GF(2),13,13,13,13,13,13,1.0,True
Therapeutic jurisprudence,17,19,18,18,18,18,0.6,True
Infographic,1,1,1,1,5,1,0.8,True
Bioenergy,8,8,8,8,8,8,1.0,True
Computable number,13,13,13,13,13,13,1.0,True
Heat of combustion,4,4,4,4,4,4,1.0,True
Multiple displacement amplification,2,2,2,2,14,2,0.8,True
Invariance principle,13,13,13,16,13,13,0.8,True
Angle-resolved photoemission spectroscopy,16,16,16,16,16,16,1.0,True
Multimethodology,3,8,3,19,19,3,0.4,True
δ13C,4,8,4,10,10,4,0.4,True
Secretory protein,2,2,2,2,14,2,0.8,True
Dynamin,2,2,2,2,2,2,1.0,True
Strain hardening exponent,12,12,12,12,12,12,1.0,True
PEVQ,5,5,5,7,5,5,0.8,True
Colorimeter,4,4,4,16,4,4,0.8,True
Instrument Driver,5,5,5,5,5,5,1.0,True
Solow residual,6,6,6,6,6,6,1.0,True
Sparse grid,13,13,5,13,13,13,0.8,True
Tandem exon duplication,2,2,2,2,2,2,1.0,True
Decantation,4,4,4,4,4,4,1.0,True
Median,13,13,13,13,13,13,1.0,True
Seiche,9,16,16,16,16,16,0.8,True
Subthreshold conduction,7,7,16,7,16,7,0.6,True
Cnoidal wave,16,16,16,16,16,16,1.0,True
Three-CCD camera,7,7,7,7,7,7,1.0,True
Dipeptidyl peptidase-4,14,14,14,14,14,14,1.0,True
Natural density,13,13,13,13,13,13,1.0,True
Suspension polymerization,4,4,4,4,4,4,1.0,True
Wiener deconvolution,13,7,13,13,13,13,0.8,True
CBC-MAC,5,5,5,5,5,5,1.0,True
Glycoproteomics,2,2,2,4,14,2,0.6,True
LIDA,5,5,5,5,5,5,1.0,True
Interstellar comet,16,16,16,16,16,16,1.0,True
B3 domain,2,2,2,2,2,2,1.0,True
Cyberpsychology,18,18,18,18,18,18,1.0,True
Nuclear technology,16,7,16,7,7,7,0.6,True
RDF Schema,5,5,5,5,5,5,1.0,True
Stalagmite,10,10,10,10,10,10,1.0,True
"Integrin, beta 6",2,2,2,2,14,2,0.8,True
Sex hormone receptor,2,2,14,14,14,14,0.6,True
Tropical marine climate,9,9,9,9,9,9,1.0,True
Hydrothermal circulation,10,10,10,10,10,10,1.0,True
Soil horizon,8,10,10,10,10,10,0.8,True
Item bank,18,5,5,18,5,5,0.6,True
Multiple Access with Collision Avoidance for Wireless,5,5,5,7,5,5,0.8,True
History of science and technology,11,11,11,11,11,11,1.0,True
Mucocutaneous zone,14,14,14,14,14,14,1.0,True
Agroecology,8,8,8,8,8,8,1.0,True
Two-body problem in general relativity,16,16,16,16,16,16,1.0,True
Recombination,2,2,2,2,16,2,0.8,True
Mobilization,17,17,17,17,17,17,1.0,True
Reverse transcriptase,2,2,2,2,14,2,0.8,True
American Community Survey,9,19,19,19,17,19,0.6,True
Viral culture,2,2,14,19,19,2,0.4,True
Rab,9,2,9,9,11,9,0.6,True
Morse theory,13,13,13,13,13,13,1.0,True
Interleukin 23,14,2,14,2,14,14,0.6,True
Memory leak,5,5,5,5,5,5,1.0,True
Cooperative federalism,17,17,17,17,17,17,1.0,True
Reconstructive memory,18,18,18,18,18,18,1.0,True
Hidden node problem,7,5,5,5,5,5,0.8,True
Order processing,3,3,3,3,3,3,1.0,True
Trigonometric polynomial,13,13,13,13,13,13,1.0,True
Global wind patterns,8,9,9,9,9,9,0.8,True
Functor,13,13,13,13,13,13,1.0,True
Spectrum (functional analysis),13,13,13,13,13,13,1.0,True
Dirac spinor,16,16,16,16,16,16,1.0,True
Aftershock,10,10,10,10,10,10,1.0,True
Contemporary history,11,11,11,11,11,11,1.0,True
Generalized valence bond,4,4,4,4,4,4,1.0,True
Organizational architecture,3,3,3,3,3,3,1.0,True
Bow wave,16,16,16,16,16,16,1.0,True
Active cooling,7,7,7,7,7,7,1.0,True
Self-reference effect,18,18,18,18,18,18,1.0,True
Gallery forest,8,2,8,9,8,8,0.6,True
Leucine zipper,2,2,2,2,2,2,1.0,True
Implicit memory,18,18,18,18,18,18,1.0,True
Wide-angle X-ray scattering,12,16,16,16,16,16,0.8,True
Matching pursuit,5,13,5,5,13,5,0.6,True
Backtracking,5,5,5,5,5,5,1.0,True
Enamel paint,12,12,12,12,12,12,1.0,True
Lattice gas automaton,5,5,5,5,5,5,1.0,True
Bulk synchronous parallel,5,5,5,5,5,5,1.0,True
Dip soldering,7,7,7,7,7,7,1.0,True
Cellular adaptation,2,2,2,2,14,2,0.8,True
Ring of symmetric functions,13,13,13,13,13,13,1.0,True
Protein tag,2,2,2,2,14,2,0.8,True
Isothermal titration calorimetry,4,4,4,4,4,4,1.0,True
Principal ideal ring,13,13,13,13,13,13,1.0,True
Neurotransmitter receptor,2,2,2,2,14,2,0.8,True
m-derived filter,7,7,7,7,7,7,1.0,True
Voluntarism (philosophy),15,15,15,15,15,15,1.0,True
Earthworks,9,8,1,9,7,9,0.4,True
Parthenocarpy,2,2,2,2,2,2,1.0,True
Transcription factor II E,2,2,2,2,14,2,0.8,True
Odds ratio,14,13,14,13,13,13,0.6,True
Surface diffusion,12,12,16,12,16,12,0.6,True
Instructions per cycle,5,5,5,5,5,5,1.0,True
Aerodynamic heating,7,16,16,16,16,16,0.8,True
Monoculture,2,8,8,8,8,8,0.8,True
Perceptual psychology,18,18,18,18,18,18,1.0,True
Biodegradation,8,8,8,2,8,8,0.8,True
Neutral theory of molecular evolution,2,2,2,2,2,2,1.0,True
Overvoltage,7,7,16,7,7,7,0.8,True
Proof of the Euler product formula for the Riemann zeta function,13,13,13,13,13,13,1.0,True
High-content screening,2,2,2,2,14,2,0.8,True
Capital cost,3,6,6,6,6,6,0.8,True
Quantum state,16,16,16,16,16,16,1.0,True
Arc-fault circuit interrupter,7,7,7,7,7,7,1.0,True
Strongly correlated material,16,16,16,16,16,16,1.0,True
Humanities,15,11,15,15,11,15,0.6,True
CCL18,14,2,14,2,14,14,0.6,True
TRIPS architecture,5,5,5,5,5,5,1.0,True
Domain analysis,5,5,5,5,5,5,1.0,True
Thermomechanical analysis,12,12,12,7,7,12,0.6,True
Mathieu function,13,13,13,13,13,13,1.0,True
Conrotatory and disrotatory,4,4,4,4,4,4,1.0,True
Wetting transition,16,16,16,16,16,16,1.0,True
Pipe network analysis,7,7,7,7,7,7,1.0,True
Embedded atom model,12,12,12,12,16,12,0.8,True
Block code,5,5,5,5,5,5,1.0,True
Kähler manifold,13,13,13,13,13,13,1.0,True
Loudspeaker,7,7,7,7,7,7,1.0,True
Agrarian society,11,19,19,11,19,19,0.6,True
Feminist theory,19,19,19,19,19,19,1.0,True
Search-oriented architecture,5,5,5,5,5,5,1.0,True
Annual plant,2,2,2,2,2,2,1.0,True
Tangent space,13,13,13,13,13,13,1.0,True
Cost database,3,3,3,6,7,3,0.6,True
Applications of artificial intelligence,5,5,5,5,5,5,1.0,True
MD5,5,5,5,5,5,5,1.0,True
Sustainable transport,8,8,8,8,8,8,1.0,True
Image warping,5,5,5,5,5,5,1.0,True
Conservation of mass,16,16,16,16,16,16,1.0,True
Neurofilament,2,2,2,2,14,2,0.8,True
Velocity potential,16,16,16,16,16,16,1.0,True
Smelting,12,12,7,12,12,12,0.8,True
Graphic design,1,1,1,1,1,1,1.0,True
Integral geometry,13,13,13,13,13,13,1.0,True
Taxable income,3,6,6,6,6,6,0.8,True
Community psychology,18,18,18,18,18,18,1.0,True
Blackboard system,5,5,5,5,5,5,1.0,True
Kalman filter,13,7,7,7,13,7,0.6,True
Ethical leadership,3,3,15,15,18,3,0.4,True
Progenitor,2,2,2,2,2,2,1.0,True
Gas-discharge lamp,7,7,16,16,16,16,0.6,True
Forum spam,5,5,5,5,5,5,1.0,True
Petroleum geochemistry,10,4,10,10,10,10,0.8,True
Litmus,4,4,4,4,4,4,1.0,True
Potential vorticity,16,16,16,16,16,16,1.0,True
JAK-STAT signaling pathway,2,2,2,2,14,2,0.8,True
Reynolds equation,7,7,7,7,7,7,1.0,True
Multiplicative inverse,13,13,13,13,13,13,1.0,True
Genus,2,2,2,2,2,2,1.0,True
Glide plane,16,12,16,13,16,16,0.6,True
Glacial period,10,10,10,10,10,10,1.0,True
Recombination signal sequences,2,2,2,2,2,2,1.0,True
Topological graph theory,13,13,13,13,13,13,1.0,True
Minor allele frequency,2,2,2,2,14,2,0.8,True
Web of trust,5,5,5,5,5,5,1.0,True
Hairy root culture,2,2,2,2,2,2,1.0,True
Nested polymerase chain reaction,2,2,2,2,14,2,0.8,True
Hamiltonian optics,16,16,16,16,16,16,1.0,True
Fixed-point iteration,13,13,13,13,13,13,1.0,True
Psychology,18,18,18,18,18,18,1.0,True
Maximum flow problem,13,5,5,5,5,5,0.8,True
Vertex function,16,16,16,16,13,16,0.8,True
Magnetic flux,16,16,16,16,16,16,1.0,True
Indecomposable module,13,13,13,13,13,13,1.0,True
Diagnostic odds ratio,14,14,14,14,14,14,1.0,True
Circumpolar deep water,8,9,10,9,8,8,0.4,True
String (physics),16,16,16,16,16,16,1.0,True
traceroute,5,5,5,5,5,5,1.0,True
Three-dimensional space,13,13,16,13,13,13,0.8,True
s-process,16,16,16,16,16,16,1.0,True
Line at infinity,13,13,13,13,13,13,1.0,True
Cuneiform,11,11,11,11,11,11,1.0,True
Transpiration,2,2,2,2,2,2,1.0,True
Juvenile fish,2,2,2,2,2,2,1.0,True
Fine-tuning,5,5,5,5,5,5,1.0,True
Selective catalytic reduction,7,7,8,7,7,7,0.8,True
Work ethic,3,19,19,19,19,19,0.8,True
Allostasis,14,2,14,14,14,14,0.8,True
Bisection method,13,13,13,13,13,13,1.0,True
Pipeline burst cache,5,5,5,5,5,5,1.0,True
Coordinate descent,13,13,13,13,13,13,1.0,True
Aquaporin 4,2,2,2,14,14,2,0.6,True
Injection seeder,16,16,7,7,7,7,0.6,True
Supersingular elliptic curve,13,13,13,13,13,13,1.0,True
Banner,1,1,1,11,5,1,0.6,True
Protractor,13,13,13,13,13,13,1.0,True
Omics,2,2,2,2,2,2,1.0,True
Cwm,9,9,9,10,10,9,0.6,True
Anaerobic corrosion,4,12,12,12,12,12,0.8,True
Parallax,16,16,16,16,16,16,1.0,True
String field theory,16,16,16,16,16,16,1.0,True
Control channel,5,7,5,7,7,7,0.6,True
Saponification,4,4,4,4,4,4,1.0,True
Virtual routing and forwarding,5,5,5,5,5,5,1.0,True
Phase plane,13,13,13,13,13,13,1.0,True
Matrix pencil,13,13,13,13,13,13,1.0,True
Guano,2,8,8,8,10,8,0.6,True
Closed captioning,7,7,5,7,5,7,0.6,True
WordNet,5,5,5,5,5,5,1.0,True
Accommodation,18,19,19,18,14,19,0.4,True
Postharvest,2,3,2,7,2,2,0.6,True
Query optimization,5,5,5,5,5,5,1.0,True
B-cell receptor,2,2,2,2,14,2,0.8,True
FastICA,5,5,5,5,5,5,1.0,True
Uniform convergence,13,13,13,13,13,13,1.0,True
Newsprint,12,12,12,12,12,12,1.0,True
Chromosome 20,2,2,2,2,2,2,1.0,True
Evolutionary music,5,1,5,5,1,5,0.6,True
Frequency scaling,5,5,16,7,16,5,0.4,True
Medical underwriting,3,3,3,3,14,3,0.8,True
Throughput,7,5,5,7,7,7,0.6,True
Cerebral blood flow,14,14,14,14,14,14,1.0,True
Transverse mass,16,16,16,16,16,16,1.0,True
Mechanical joint,7,7,7,7,7,7,1.0,True
Boiling,4,16,16,16,16,16,0.8,True
Real-time MRI,14,14,14,14,14,14,1.0,True
Filter capacitor,7,7,7,7,7,7,1.0,True
Intrathecal,14,14,14,14,14,14,1.0,True
Hot cognition,18,18,18,18,18,18,1.0,True
Moraine,10,10,10,10,10,10,1.0,True
Magmatic water,10,10,10,10,10,10,1.0,True
Central differencing scheme,13,13,13,13,13,13,1.0,True
ATF3,14,2,2,2,14,2,0.6,True
Insertion sequence,2,2,2,2,2,2,1.0,True
Explant culture,2,2,2,2,14,2,0.8,True
Pier,9,7,9,7,7,7,0.6,True
Convolutional code,5,7,5,7,5,5,0.6,True
Substorm,16,16,16,16,16,16,1.0,True
Black-body radiation,16,16,16,16,16,16,1.0,True
Bubble,6,6,16,6,6,6,0.8,True
Avionics,7,7,7,7,7,7,1.0,True
Logic synthesis,5,5,5,5,5,5,1.0,True
Quality policy,3,3,3,3,17,3,0.8,True
Feedback arc set,5,5,5,5,13,5,0.8,True
Turbidite,10,10,10,10,10,10,1.0,True
Pumping lemma for regular languages,5,5,5,5,5,5,1.0,True
Audio mining,5,5,5,5,5,5,1.0,True
Convex optimization,13,13,13,13,13,13,1.0,True
Predictor–corrector method,13,13,13,13,13,13,1.0,True
Advanced process control,7,7,7,7,7,7,1.0,True
Muon spin spectroscopy,16,16,16,16,16,16,1.0,True
